actorId,awards,nominations
a0316592,0,1.0
a0001429,52,40.0
a0910905,5,0.0
a0097379,0,1.0
a0308376,6,5.0
a0001345,43,34.0
a0818639,2,6.0
a0141033,3,5.0
a0538533,17,14.0
a0000186,54,63.0
a0513165,1,4.0
a0453832,3,3.0
a0401680,1,1.0
a0001779,19,21.0
a0504496,2,1.0
a0775447,9,16.0
a0001460,6,14.0
a0413875,13,10.0
a0240987,2,3.0
a0325776,1,2.0
a0000976,2,5.0
a0003638,4,0.0
a0614276,2,1.0
a0487567,0,2.0
nan,0,0.0
a0712444,0,1.0
a0509409,0,1.0
a0146341,21,11.0
a0677953,1,2.0
a0188521,1,3.0
a0487237,4,10.0
a0000907,3,5.0
a0924266,0,1.0
a0668500,1,3.0
a0528718,6,1.0
a0083279,2,2.0
a0336620,7,10.0
a0438279,0,7.0
a0000740,5,2.0
a0419884,7,3.0
a0198765,8,9.0
a0254632,7,10.0
a0262678,2,7.0
a0001716,6,12.0
a0000101,3,12.0
a0050597,3,1.0
a0020728,0,3.0
a0665322,2,0.0
a0326837,2,1.0
a0776271,2,2.0
a0854697,10,15.0
a0701821,2,3.0
a0437709,0,2.0
a0869664,0,3.0
a0021899,11,19.0
a0004838,7,10.0
a0839660,5,11.0
a0423623,2,6.0
a0527109,4,3.0
a0000520,18,29.0
a0001353,14,14.0
a0071611,8,10.0
a0000517,47,61.0
a0382956,12,13.0
a0145336,0,0.0
a0106456,11,12.0
a0005509,0,2.0
a0006889,5,5.0
a0676361,0,1.0
a0000110,33,63.0
a0591486,7,19.0
a0640964,0,1.0
a0438394,1,3.0
a0438226,0,1.0
a0749484,1,1.0
a0001554,19,30.0
a0945674,0,0.0
a0630372,0,1.0
a0803203,9,11.0
a0121673,0,0.0
a0000671,32,52.0
a0623768,5,9.0
a0152741,0,0.0
a0000118,22,19.0
a0296861,3,5.0
a0000341,13,12.0
a0152640,0,6.0
a0001587,11,12.0
a0001214,9,23.0
a0943758,20,45.0
a0007139,27,37.0
a0325196,6,1.0
a0935644,27,31.0
a0515979,3,2.0
a0001005,50,37.0
a0001102,20,12.0
a0000180,30,27.0
a0950001,12,3.0
a0464846,34,42.0
a0452607,1,1.0
a0929186,0,1.0
a0229694,1,1.0
a0000217,161,253.0
a0000583,10,8.0
a0351945,0,0.0
a0455394,0,2.0
a0001789,27,12.0
a0003160,10,7.0
a0721944,6,3.0
a0939128,2,12.0
a0000881,9,13.0
a0586482,33,39.0
a0001219,3,3.0
a0505152,2,1.0
a0933002,1,1.0
a0000638,26,40.0
a0097079,16,13.0
a0164187,5,10.0
a0000197,88,95.0
a0501435,12,12.0
a0893895,0,0.0
a0001661,23,26.0
a0007439,0,1.0
a0528420,2,6.0
a0783544,5,5.0
a0956052,1,0.0
a0380980,16,11.0
a0773603,26,34.0
a0001675,38,24.0
a0431570,10,9.0
a0001328,4,16.0
a0602452,21,7.0
a0002657,8,20.0
a0086282,10,7.0
a0934525,2,9.0
a0001454,5,11.0
a0001281,8,11.0
a0001949,5,7.0
a0226189,2,5.0
a0001873,47,89.0
a0410640,1,0.0
a0393661,1,15.0
a0754678,0,1.0
a0000914,28,24.0
a0692332,0,0.0
a0001756,7,14.0
a0502577,1,1.0
a0293533,6,4.0
a0579466,1,2.0
a0939992,1,5.0
a0029242,9,36.0
a0110564,2,0.0
a0000886,40,44.0
a0790715,10,3.0
a0057284,3,2.0
a0510674,1,4.0
a0006498,37,18.0
a0828419,14,24.0
a0922346,2,0.0
a0580982,7,3.0
a0005008,6,15.0
a0000485,7,8.0
a0001707,33,59.0
a0464804,20,4.0
