actorId,awards,nominations
a0001232,47,24.0
a0427468,2,0.0
a0398986,1,1.0
a0001565,15,13.0
a0000780,37,21.0
a0564827,4,3.0
a0094288,2,2.0
a0001129,31,35.0
a0000036,8,2.0
a0515255,13,0.0
a0005116,2,5.0
a0001774,15,44.0
a0175115,0,0.0
a0394119,6,11.0
a0001681,17,6.0
a0001130,2,4.0
a0384722,1,1.0
a0774325,1,2.0
a0400441,5,8.0
a0706182,3,8.0
a0228147,0,2.0
a0911910,9,15.0
a0002120,15,17.0
a0000697,50,52.0
a0408076,35,18.0
a0024622,53,40.0
a0200978,1,1.0
a0762541,0,5.0
a0412465,49,58.0
a0000812,15,2.0
a0949796,0,0.0
a0411477,1,1.0
a0000228,55,81.0
a0188669,1,4.0
a0001723,4,0.0
a0524995,0,0.0
a0172826,1,1.0
a0949597,0,0.0
a0494903,1,0.0
a0868219,95,106.0
a0000184,57,35.0
a0908148,0,1.0
a0001603,6,9.0
a0227187,3,2.0
a0292419,2,5.0
a0359386,0,1.0
a0330619,1,2.0
a0713527,0,0.0
a0588183,0,1.0
a0415617,4,4.0
a0001415,37,27.0
a0000783,13,7.0
a0950226,2,3.0
a0000269,20,5.0
a0957798,0,1.0
a0000248,0,0.0
a0347086,2,3.0
a0452319,3,2.0
a0894812,8,1.0
a0891554,2,7.0
a0253106,0,0.0
a0935863,25,57.0
a0934578,4,3.0
a0000601,9,8.0
a0005647,1,2.0
a0006729,2,6.0
a0428600,6,2.0
a0476201,11,18.0
a0001471,16,18.0
a0792446,0,0.0
a0672543,1,5.0
a0399737,5,16.0
a0001754,14,33.0
a0000570,21,28.0
a0224683,9,11.0
a0661577,1,4.0
a0104481,10,17.0
a0449576,5,1.0
a0000934,46,35.0
a0478441,2,2.0
a0002224,8,7.0
a0169874,0,1.0
a0161717,14,17.0
a0848883,1,2.0
a0688585,0,1.0
a0476071,4,6.0
a0835732,0,4.0
a0865709,0,0.0
a0643422,7,3.0
a0733692,0,2.0
a0381638,0,0.0
a0006853,4,3.0
a0602104,10,8.0
a0079471,0,1.0
a0832369,5,11.0
a0767697,3,0.0
a0460141,7,27.0
a0936673,1,1.0
a0635760,0,0.0
a0387706,10,10.0
a0002020,37,27.0
a0416945,34,46.0
a0777447,4,1.0
a0005295,19,23.0
a0085457,2,2.0
a0382548,1,2.0
a0266684,3,14.0
a0911334,4,5.0
a0843640,44,21.0
a0360144,0,0.0
a0281808,5,7.0
a0002545,4,3.0
a0510731,2,7.0
a0926211,0,1.0
a0611683,3,5.0
a0368981,4,3.0
a0909825,3,6.0
a0695937,3,23.0
a0001243,21,15.0
a0125111,6,7.0
a0002337,4,4.0
a0000165,38,72.0
a0246903,15,15.0
a0899854,0,0.0
a0502954,2,4.0
a0318947,0,1.0
a0613498,1,0.0
a0492087,0,0.0
a0622695,7,5.0
a0126440,0,0.0
a0442207,23,10.0
a0000952,0,0.0
a0006959,4,3.0
a0075626,10,4.0
a0645880,5,3.0
a0759368,25,23.0
a0449984,5,3.0
a0437596,0,0.0
a0826437,2,3.0
a0531751,4,3.0
a0052944,0,0.0
a0001351,7,8.0
a0000500,102,127.0
a0176905,2,4.0
a0001031,23,33.0
a0003343,0,4.0
a0006960,12,20.0
a0070474,9,27.0
a0482537,3,3.0
a0662953,3,0.0
a0149446,19,12.0
a0620290,1,0.0
a0003423,4,9.0
a0852279,0,2.0
a0710919,10,11.0
a0000318,27,72.0
a0000339,30,4.0
a0178997,0,0.0
a0425756,0,1.0
a0000634,9,17.0
a0464506,0,2.0
a0354126,0,1.0
