actorId,awards
a0001639,7
a0438394,1
a0519434,0
a0748928,5
a0762263,1
a0000080,32
a0001325,10
a0524995,0
a0874096,31
a0734747,3
a0650233,4
a0485298,0
a0000791,3
a0930782,2
a0003593,36
a0878638,1
a0004056,35
a0000750,5
a0168214,1
a0434571,7
a0378893,3
a0285302,9
a0841647,0
a0179216,1
a0001438,14
a0464804,20
a0002174,7
a0027183,3
a0000983,28
a0503777,5
a0734319,6
a0846119,28
a0003418,1
a0170719,2
a0000915,7
a0718031,6
a0047076,0
a0002175,1
a0254675,0
a0000777,9
a0200978,1
a0669004,4
a0000519,13
a0619762,32
a0053190,18
a0504496,2
a0006445,36
a0005197,1
a0052944,0
a0000520,18
a0001885,93
a0802501,19
a0851930,8
a0593610,6
a0001915,7
a0005222,52
a0426333,6
a0070159,45
a0000694,89
a0338018,0
a0500988,22
a0000248,0
a0001345,43
a0001239,17
a0951206,9
a0000484,10
a0000641,17
a0757256,0
a0329116,0
a0380705,0
a0003160,10
a0000184,57
a0532263,3
a0262693,0
a0765121,13
a0057284,3
a0844358,3
a0003506,11
a0928208,0
a0000881,9
a0774325,1
a0237292,2
a0001331,51
a0809823,0
a0732430,7
a0926211,0
a0779265,1
a0616152,0
a0573796,5
a0000786,1
a0847749,2
a0510674,1
a0000965,83
a0806915,1
a0592400,4
a0476071,4
a0910737,0
a0001008,12
a0404754,3
a0001243,21
a0026442,6
a0000040,46
a0450387,1
a0602452,21
a0238743,1
a0201095,54
a0906548,1
a0000682,40
a0894812,8
a0001707,33
a0000517,46
a0851288,2
a0505230,0
a0960028,6
a0005363,8
a0911486,3
a0322128,6
a0031342,1
a0899854,0
a0661577,1
a0000104,60
a0917992,0
a0280901,5
a0000976,2
a0853380,5
a0222043,1
a0754678,0
a0602104,10
a0843640,44
a0802563,6
a0233757,22
a0048491,0
a0941457,4
a0828419,14
a0516360,104
a0029242,9
a0839660,5
a0487237,4
a0953649,0
a0155093,12
a0934912,0
a0903717,2
a0477129,3
a0088397,12
a0747849,4
a0425540,2
a0000941,77
a0266255,0
a0001565,14
a0005237,30
a0112374,10
a0587518,3
a0940774,4
a0667767,0
a0671210,2
a0924266,0
a0238865,0
a0000894,6
a0493369,0
a0789313,3
a0773603,26
a0001508,15
a0755963,0
a0402563,0
a0388198,4
a0364578,5
a0620290,1
a0002132,3
a0125803,3
a0037708,3
a0317981,1
a0538533,17
a0381638,0
a0000431,12
a0151066,32
a0449863,6
a0248054,2
a0000778,13
a0458251,19
a0518719,1
a0001353,14
a0422484,29
a0853546,1
a0618284,2
a0471461,10
a0572951,1
a0818465,0
a0001661,23
a0000230,58
a0502954,2
a0686184,0
a0742819,4
a0287198,2
a0141222,0
a0086826,0
a0001754,14
a0005101,10
a0794791,7
a0767022,54
a0955443,127
a0430064,1
a0000228,55
a0006889,5
a0802248,6
a0005421,6
a0346550,18
a0000341,13
a0152469,5
a0188521,1
a0744035,6
a0000466,42
a0001302,9
a0150707,0
a0753382,19
a0936673,1
a0123009,4
a0002194,23
a0420982,9
a0914132,1
a0000776,23
a0000217,160
a0343260,1
a0000416,24
a0002887,0
a0001084,9
a0770234,7
a0933604,6
a0805965,0
a0638354,15
a0645549,0
a0939992,1
a0373154,0
a0640740,25
a0730932,0
a0001206,22
a0859920,1
a0331998,3
a0891554,2
a0635759,1
a0695937,3
a0332539,0
a0314671,4
a0005647,1
a0854697,10
a0769703,8
a0000485,7
a0000361,13
a0000829,0
a0643422,7
a0006452,22
a0324660,9
a0085457,2
a0548529,0
a0242064,8
a0180912,3
a0041932,6
a0533564,8
a0007128,4
a0957453,2
a0000399,65
a0007182,4
a0712947,1
a0582635,0
a0002606,0
a0264220,15
a0000199,50
a0003941,71
a0000638,26
a0807687,8
a0089177,0
a0402597,0
a0005190,13
a0485871,2
a0542752,0
a0064600,0
a0109359,2
a0912224,7
a0689187,8
a0001129,31
a0445033,0
nan,0
a0423646,11
a0002337,4
a0437709,0
a0573589,0
a0001716,6
a0442207,23
a0476900,0
a0834889,0
a0705535,21
a0780764,0
a0601619,45
a0230695,20
a0001338,32
a0000095,135
a0634240,122
a0331532,0
a0002120,15
a0923768,22
a0292419,2
a0000241,2
a0005738,2
a0494903,1
a0431570,10
a0000041,64
a0190859,178
a0351945,0
a0000740,5
a0958387,6
a0075528,2
a0002044,2
a0001603,6
a0547446,0
a0171664,7
a0622112,15
a0946811,5
a0223359,0
a0591171,3
a0234893,0
a0464506,0
a0371059,1
a0953123,9
a0743239,5
a0881038,0
a0322865,0
a0827854,4
a0866062,10
a0455214,1
a0819613,3
a0001756,7
a0205542,1
a0504495,3
a0764319,0
a0585011,7
a0927074,0
a0515255,12
a0504513,11
a0922346,2
a0005116,2
a0001945,9
a0000824,3
a0767110,16
a0006476,7
a0000343,66
a0308376,6
a0005367,3
a0718627,5
a0731253,4
a0169874,0
a0425756,0
a0001348,59
a0580982,7
a0274659,19
a0657853,0
a0658476,0
a0412465,49
a0414312,0
a0001178,5
a0000759,71
a0377750,6
a0684596,5
a0166625,0
a0419884,7
a0502577,1
a0523932,5
a0000209,36
a0921631,14
a0327064,3
a0696309,3
a0858525,8
a0000691,8
a0001226,1
a0254786,1
a0591486,7
a0001741,18
a0020406,0
a0277946,12
a0772259,28
a0527217,5
a0000907,3
a0762541,0
a0001219,3
a0241090,11
a0505152,2
a0573732,12
a0336695,8
a0141033,3
a0001410,17
a0842582,0
a0004555,17
a0000812,15
a0467942,0
a0849609,12
a0513165,1
a0001378,38
a0119106,3
a0164187,5
a0723704,0
a0207357,0
a0001490,5
a0449984,5
a0000318,27
a0850516,0
a0045321,4
a0927296,1
a0540532,1
a0878756,38
a0680846,20
a0496752,2
a0232902,0
a0258066,1
a0496312,16
a0279807,0
a0006960,12
a0005295,19
a0712444,0
a0003343,0
a0934578,4
a0662953,3
a0751080,2
a0671957,11
a0178997,0
a0577849,0
a0557927,3
a0006916,1
a0452102,38
a0193303,6
a0000329,45
a0788454,0
a0562645,1
a0276169,3
a0188165,5
a0001047,13
a0609549,8
a0695629,7
a0191109,15
a0000957,1
a0001031,23
a0320660,8
a0160602,7
a0351993,0
a0357143,13
a0560370,0
a0268380,25
a0427468,2
a0400441,5
a0058045,2
a0305405,1
a0848092,0
a0650561,0
a0000905,50
a0945674,0
a0094288,2
a0357891,1
a0266684,3
a0664756,0
a0865709,0
a0638080,2
a0001708,9
a0152741,0
a0564319,3
a0038906,1
a0799033,4
a0614276,2
a0000122,24
a0021899,11
a0215269,3
a0509409,0
a0023469,3
a0501435,12
a0719756,13
a0000111,3
a0005618,0
a0193554,4
a0000076,31
a0552140,1
a0145309,4
a0558773,2
a0381699,0
a0438989,10
a0309382,12
a0000783,13
a0429517,2
a0000601,9
a0158966,17
a0612812,1
a0855035,1
a0640964,0
a0802551,5
a0939202,1
a0936374,3
a0728522,0
a0001120,27
a0432627,0
a0527109,4
a0184323,10
a0368675,0
a0326161,2
a0000559,9
a0004716,40
a0000033,30
a0318795,4
a0528337,4
a0725379,0
a0110564,2
a0000382,56
a0000591,86
a0000320,37
a0004886,7
a0432846,2
a0928832,0
a0826437,2
a0371852,0
a0145336,0
a0782682,1
a0000797,3
a0313569,0
a0000175,6
a0331193,0
a0000814,5
a0653211,9
a0477193,5
a0795803,7
a0615780,9
a0227781,3
a0863387,7
a0644695,1
a0908824,4
a0811714,5
a0784061,3
a0001460,6
a0000619,18
a0137363,3
a0950001,12
a0777447,4
a0724798,10
a0952360,3
a0180257,0
a0075626,10
a0213100,2
a0001566,27
a0545099,0
a0407067,29
a0360253,12
a0000316,25
a0001102,20
a0000736,4
a0770961,12
a0002340,11
a0408076,35
a0394280,4
a0062644,1
a0000142,145
a0812200,3
a0813583,2
a0002657,8
a0001880,24
a0814085,1
a0330360,2
a0950000,0
a0000934,46
a0443181,0
a0772522,42
a0910905,5
a0002089,3
a0000165,38
a0001814,45
a0101385,1
a0025978,7
a0873385,11
a0258424,2
a0518644,8
a0001379,41
a0027572,70
a0358960,14
a0001843,1
a0792446,0
a0000490,79
a0836430,7
a0438279,0
a0364805,0
a0704164,0
a0569790,1
a0612322,5
a0453832,3
a0438226,0
a0718505,4
a0910199,3
a0111656,6
a0075483,1
a0001130,2
a0174374,19
a0169680,0
a0886754,1
a0588183,0
a0001570,45
a0318150,8
a0399737,5
a0742428,4
a0776209,1
a0006959,4
a0414144,3
a0579466,1
a0507502,0
a0442241,15
a0213983,1
a0398986,1
a0128883,1
a0000425,28
a0841232,38
a0000659,49
a0001801,12
a0629272,10
a0399853,5
a0934863,0
a0589106,3
a0726472,5
a0410640,1
a0691194,0
a0462895,3
a0000149,57
a0012155,0
a0956537,5
a0002083,10
a0001676,9
a0001093,5
a0875793,2
a0691061,0
a0004121,6
a0336726,27
a0623768,5
a0000921,3
a0933505,5
a0000370,61
a0290802,0
a0262678,2
a0079471,0
a0000835,4
a0208343,5
a0692332,0
a0001355,2
a0003355,7
a0423333,0
a0911910,9
a0192090,1
a0805935,1
a0001112,1
a0881279,29
a0005347,5
a0281507,3
a0326837,2
a0001403,39
a0000265,67
a0803203,9
a0542720,10
a0714599,0
a0783139,9
a0001994,3
a0007439,0
a0733692,0
a0146960,7
a1969399,0
a0001591,2
a0181902,1
a0002080,15
a0450194,1
a0899121,52
a0822582,6
a0000972,3
a0936404,35
a0006845,18
a0228147,0
a0476201,11
a0742341,3
a0000101,3
a0000774,49
a0430927,10
a0001425,69
a0676361,0
a0131995,1
a0583292,8
a0000626,27
a0000269,20
a0276397,2
a0367860,5
a0567680,26
a0624535,2
a0154819,3
a0568546,1
a0006498,37
a0552954,2
a0354126,0
a0000570,21
a0000092,10
a0000019,60
a0848883,1
a0625458,2
a0949796,0
a0001887,1
a0002417,1
a0715636,2
a0935644,27
a0005124,36
a0229026,4
a0002653,2
a0950759,19
a0001747,4
a0196536,0
a0381273,2
a0428600,6
a0227540,0
a0001723,4
a0624756,1
a0525303,33
a0000878,2
a0389514,1
a0749484,1
a0300265,3
a0848414,11
a0808807,8
a0720304,1
a0874676,7
a0741262,6
a0377066,0
a0482537,3
a0112218,10
a0528718,6
a0005540,4
a0864812,3
a0347086,2
a0736778,0
a0007139,27
a0087904,3
a0756114,1
a0000876,45
a0002045,13
a0398185,5
a0844896,10
a0001471,16
a0791672,3
a0911061,18
a0478441,2
a0410769,1
a0001502,6
a0950226,2
a0622695,7
a0004306,63
a0044803,10
a0053157,1
a0415245,2
a0000231,57
a0000473,32
a0709752,1
a0751102,41
a0000036,8
a0541149,8
a0382956,12
a0583754,0
a0001873,46
a0000671,32
a0575389,4
a0608084,1
a0440458,1
a0001874,19
a0116663,4
a0817770,5
a0893895,0
a0000500,101
a0909026,4
a0393661,1
a0440913,14
a0609236,1
a0452607,1
a0002545,4
a0416945,34
a0759410,5
a0240627,0
a0000464,32
a0796117,14
a0005563,12
a0945026,5
a0000540,0
a0122653,8
a0929186,0
a0636165,1
a0001415,37
a0826164,0
a0000487,98
a0002031,5
a0934525,2
a0586198,1
a0797869,1
a0001023,12
a0000816,5
a0467396,1
a0001804,28
a0001402,4
a0188669,1
a0000345,30
a0711840,5
a0368871,8
a0550881,16
a0235852,1
a0229424,6
a0139867,1
a0601963,0
a0772095,16
a0759207,2
a0287025,10
a0740213,4
a0001005,49
a0155280,46
a0004305,1
a0002137,11
a0000186,54
a0939182,38
a0001139,15
a0001532,6
a0001929,4
a0575523,37
a0226189,2
a0721817,2
a0367547,4
a0000116,62
a0325533,2
a0070474,9
a0832369,5
a0234780,29
a0181741,9
a0720000,1
a0000118,22
a0587277,4
a0000583,10
a0236769,1
a0126440,0
a0578899,0
a0933002,1
a0002086,2
a0000338,49
a0557751,2
a0425244,0
a0296861,3
a0382783,0
a0071611,8
a0758574,52
a0141961,6
a0925870,1
a0487567,0
a0000126,51
a0000709,35
a0776114,3
a0001162,5
a0894776,0
a0610496,5
a0002240,0
a0000698,6
a0896542,10
a0583600,6
a0883609,2
a0000806,17
a0723685,4
a0001274,3
a0651915,12
a0716257,2
a0291442,0
a0455741,2
a0020980,0
a0285090,9
a0001779,19
a0000114,27
a0000581,19
a0387706,10
a0496746,3
a0298807,5
a0000788,8
a0001845,58
a0701592,5
a0175115,0
a0417794,2
a0942408,1
a0567126,3
a0902939,1
a0001361,9
a0382548,1
a0229694,1
a0770942,7
a0172826,1
a0326360,1
a0001587,11
a0675068,4
a0868219,94
a0513974,1
a0290867,0
a0828245,1
a0001789,27
a0005303,13
a0415617,4
a0380980,16
a0000837,10
a0882330,1
a0605743,1
a0718645,7
a0082300,4
a0001232,47
a0790715,10
a0661910,58
a0814384,9
a0006249,46
a0113164,0
a0563039,10
a0570408,0
a0240797,1
a0637518,23
a0149446,19
a0236930,0
a0001878,3
a0770650,1
a0001837,36
a0750701,1
a0575361,5
a0905152,10
a0677953,1
a0838198,3
a0296144,23
a0005348,21
a0005069,62
a0000916,3
a0000985,44
a0023929,1
a0834201,0
a0665322,2
a0272704,6
a0000634,9
a0108745,3
a0086282,10
a0000380,57
a0005509,0
a0000059,39
a0931095,0
a0192446,0
a0847314,1
a0235066,0
a0425957,1
a0000602,42
a0001486,37
a0667630,0
a0664852,6
a0125111,6
a0624516,4
a0000024,16
a0001045,1
a0365666,1
a0540542,0
a0367431,1
a0787257,1
a0634897,12
a0001175,22
a0802617,0
a0365615,0
a0020728,0
a0000154,40
a0957794,14
a0692872,2
a0001774,15
a0082835,3
a0480843,1
a0316592,0
a0106924,9
a0750857,1
a0242271,1
a0867262,4
a0910510,3
a0000850,11
a0918873,0
