head	relation	tail
76	has_genre	Short
76	has_rating	4.5
76	has_director	William K.L. Dickson
77	has_genre	Short
77	has_rating	5.1
77	has_director	Georges Méliès
78	has_genre	Documentary
78	has_genre	Short
78	has_rating	4.2
78	has_director	Aurélio da Paz dos Reis
79	has_genre	Documentary
79	has_genre	Short
79	has_rating	4.6
79	has_director	Georges Méliès
80	has_genre	Documentary
80	has_genre	Short
80	has_rating	4.3
80	has_director	Georges Méliès
81	has_genre	Documentary
81	has_genre	Short
81	has_rating	4.4
81	has_director	Georges Méliès
82	has_genre	Comedy
82	has_genre	Short
82	has_rating	4.8
82	has_director	William K.L. Dickson
83	has_genre	Short
83	has_rating	5.0
83	has_director	Georges Méliès
85	has_genre	Short
85	has_rating	5.1
85	has_director	Georges Méliès
86	has_genre	Documentary
86	has_genre	Short
86	has_rating	4.4
86	has_director	Georges Méliès
87	has_genre	Documentary
87	has_genre	Short
87	has_rating	5.0
87	has_director	Georges Méliès
88	has_genre	Documentary
88	has_genre	Short
88	has_rating	5.1
88	has_director	Georges Méliès
89	has_genre	Documentary
89	has_genre	Short
89	has_rating	6.2
89	has_director	Auguste Lumière
89	has_director	Alexandre Promio
92	has_genre	Documentary
92	has_genre	Short
92	has_rating	4.9
92	has_director	Georges Méliès
93	has_genre	Documentary
93	has_genre	Short
93	has_rating	4.9
93	has_director	Auguste Lumière
93	has_director	Louis Lumière
94	has_genre	Short
94	has_rating	4.6
94	has_director	Georges Méliès
95	has_genre	Short
95	has_rating	5.0
95	has_director	Georges Méliès
96	has_genre	Documentary
96	has_genre	Short
96	has_rating	4.6
96	has_director	Georges Méliès
97	has_genre	Documentary
97	has_genre	Short
97	has_rating	5.3
97	has_director	Georges Méliès
99	has_genre	Documentary
99	has_genre	Short
99	has_rating	4.9
99	has_director	Georges Méliès
100	has_genre	Documentary
100	has_genre	Short
100	has_rating	5.2
100	has_director	Georges Méliès
101	has_genre	Documentary
101	has_genre	Short
101	has_rating	5.1
101	has_director	Georges Méliès
102	has_genre	Short
102	has_rating	5.0
102	has_director	Georges Méliès
103	has_genre	Short
103	has_rating	6.1
103	has_director	Georges Méliès
104	has_genre	Documentary
104	has_genre	Short
104	has_rating	5.5
104	has_director	n
104	has_director	u
104	has_director	l
104	has_director	l
105	has_genre	Documentary
105	has_genre	Short
105	has_rating	5.7
105	has_director	Georges Méliès
106	has_genre	Short
106	has_rating	5.2
106	has_director	Georges Méliès
107	has_genre	Documentary
107	has_genre	Short
107	has_rating	5.8
107	has_director	Georges Méliès
108	has_genre	Drama
108	has_genre	Short
108	has_rating	4.4
108	has_director	William K.L. Dickson
110	has_genre	Short
110	has_genre	Fantasy
110	has_rating	4.4
110	has_director	William K.L. Dickson
111	has_genre	Drama
111	has_genre	Short
111	has_rating	4.5
111	has_director	William K.L. Dickson
112	has_genre	Short
112	has_genre	Fantasy
112	has_rating	4.5
112	has_director	William K.L. Dickson
113	has_genre	Drama
113	has_genre	Short
113	has_rating	4.4
113	has_director	William K.L. Dickson
116	has_genre	Short
116	has_rating	5.8
116	has_director	Georges Méliès
117	has_genre	Documentary
117	has_genre	Short
117	has_rating	5.1
117	has_director	Aurélio da Paz dos Reis
118	has_genre	Short
118	has_rating	5.9
118	has_director	Georges Méliès
119	has_genre	Documentary
119	has_genre	Short
119	has_rating	5.8
119	has_director	Georges Méliès
121	has_genre	Short
121	has_genre	Comedy
121	has_rating	4.5
121	has_director	Alfred Moul
122	has_genre	Documentary
122	has_genre	Short
122	has_rating	5.8
122	has_director	Georges Méliès
123	has_genre	Short
123	has_rating	5.8
123	has_director	Georges Méliès
125	has_genre	Short
125	has_rating	5.0
125	has_director	n
125	has_director	u
125	has_director	l
125	has_director	l
126	has_genre	Short
126	has_rating	6.0
126	has_director	Georges Méliès
128	has_genre	Short
128	has_rating	6.1
128	has_director	Georges Méliès
129	has_genre	Short
129	has_rating	6.8
129	has_director	Georges Méliès
132	has_genre	Short
132	has_genre	Biography
132	has_rating	5.1
132	has_director	Georges Méliès
135	has_genre	Documentary
135	has_genre	Short
135	has_rating	6.7
135	has_director	William K.L. Dickson
137	has_genre	Short
137	has_genre	Comedy
137	has_rating	4.8
137	has_director	Alice Guy
140	has_genre	Short
140	has_rating	5.0
140	has_director	Alice Guy
141	has_genre	Documentary
141	has_genre	Short
141	has_rating	5.3
141	has_director	Alice Guy
144	has_genre	Comedy
144	has_genre	Short
144	has_rating	5.2
144	has_director	Alice Guy
145	has_genre	Short
145	has_genre	Comedy
145	has_rating	3.9
145	has_director	Alice Guy
146	has_genre	Short
146	has_genre	Comedy
146	has_rating	5.1
146	has_director	Alice Guy
147	has_genre	Documentary
147	has_genre	Short
147	has_genre	News
147	has_genre	Sport
147	has_rating	5.2
147	has_director	Enoch J. Rector
148	has_genre	Short
148	has_rating	3.6
148	has_director	Alice Guy
149	has_genre	Short
149	has_genre	Comedy
149	has_rating	5.1
149	has_director	Georges Méliès
150	has_genre	Documentary
150	has_genre	Short
150	has_rating	5.2
150	has_director	Alice Guy
151	has_genre	Short
151	has_rating	5.4
151	has_director	Georges Méliès
152	has_genre	Short
152	has_genre	Fantasy
152	has_genre	Horror
152	has_rating	6.1
152	has_director	Georges Méliès
153	has_genre	Short
153	has_genre	Horror
153	has_rating	5.7
153	has_director	George Albert Smith
154	has_genre	Short
154	has_genre	News
154	has_genre	Sport
154	has_rating	4.6
154	has_director	Birt Acres
155	has_genre	Short
155	has_rating	5.3
155	has_director	Georges Méliès
156	has_genre	Short
156	has_genre	Comedy
156	has_rating	4.6
156	has_director	Georges Méliès
157	has_genre	Short
157	has_rating	4.1
157	has_director	Alice Guy
158	has_genre	Short
158	has_genre	Comedy
158	has_rating	3.5
158	has_director	Alice Guy
159	has_genre	Short
159	has_genre	Horror
159	has_rating	5.3
159	has_director	Georges Méliès
160	has_genre	Short
160	has_genre	Drama
160	has_rating	5.2
160	has_director	Walter R. Booth
161	has_genre	Short
161	has_genre	Comedy
161	has_rating	3.9
161	has_director	Alice Guy
162	has_genre	Documentary
162	has_genre	Short
162	has_rating	5.3
162	has_director	Alexandre Promio
163	has_genre	Short
163	has_genre	Comedy
163	has_rating	4.5
163	has_director	Alice Guy
164	has_genre	Short
164	has_genre	Comedy
164	has_rating	5.0
164	has_director	Alice Guy
165	has_genre	Short
165	has_rating	5.1
165	has_director	Fructuós Gelabert
166	has_genre	Documentary
166	has_genre	Short
166	has_rating	4.1
166	has_director	Fructuós Gelabert
168	has_genre	Documentary
168	has_genre	Short
168	has_rating	3.4
168	has_director	Fructuós Gelabert
169	has_genre	Short
169	has_rating	4.1
169	has_director	Alexandre Promio
170	has_genre	Comedy
170	has_genre	Short
170	has_rating	5.2
