actorId,awards
a0000245,"['Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', None, 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', None, 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', None, None, None, 'Winner', None, None, 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', None, 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', None, 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', None, 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', None, 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner']"
a0957648,[]
a0842303,"['Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee']"
a0256225,[]
a0060995,[]
a0733492,[]
a0932112,"['Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee']"
a0502442,"['Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner']"
a0861809,[]
a4742842,[]
a1498475,[]
a0173466,[]
a0449949,[]
a0783525,[]
a0606658,[]
a0506405,"['Winner', None, 'Nominee', None, 'Winner', 'Nominee', None, None, None, 'Winner', 'Nominee', None, None, 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', None, 'Nominee', None, 'Nominee', 'Winner', None, 'Winner', 'Winner', None, 'Winner', None, 'Winner', 'Nominee', 'Nominee', 'Nominee', None, 'Winner', None, 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', None, 'Winner', 'Nominee', 'Nominee', None, 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', None, 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee']"
a0119698,[]
a0736851,[]
a8136995,[]
a0931090,"['Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', None]"
a0113720,[]
a0015935,"['Nominee', 'Winner', 'Nominee', 'Winner']"
a0358650,"['Winner', 'Nominee', 'Nominee', None, 'Nominee', None]"
a0114931,[]
a0348562,[]
a0324533,[]
a0783524,[]
a0359695,[]
a0117206,[]
a0001629,"['Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', None]"
a0578335,[]
a0857451,[]
a0907529,[]
a0346893,"['Winner', 'Nominee']"
a0431957,"['Nominee', 'Winner', 'Nominee']"
a0263298,[]
a0479123,['Nominee']
a0643488,[]
a0002064,"['Nominee', None, 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', None, 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner']"
a0064277,[]
a0459246,[]
a0030926,[]
a0001737,"['Nominee', 'Nominee', None, 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', None, None, None, 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', None, 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee', None, 'Nominee', 'Nominee', None, 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', None, 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', None, 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee']"
a0000158,"['Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', None, 'Nominee', None, 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', None, 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', None, 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', None, None, 'Nominee', 'Nominee', None, 'Nominee', None, 'Nominee', 'Winner', 'Nominee', None, 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', None, 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', None, 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', None, 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', None, None, 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', None, 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', None, 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', None, 'Winner']"
a0139455,[]
a0129749,"['Nominee', 'Nominee']"
a0522352,[]
a0373389,[]
a0065735,['Winner']
a0842470,['Nominee']
a0077615,[]
a1327149,[]
a0754676,"['Nominee', None, 'Nominee', 'Nominee', 'Nominee']"
a0173454,[]
a0001728,"['Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner']"
a0593273,[]
a0000593,"['Nominee', None, 'Nominee', 'Nominee', 'Winner']"
a0808669,['Nominee']
a0724545,[]
a0583654,[]
a0328678,[]
a0000188,"['Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', None, None, 'Nominee', None, 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', None, 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner']"
a0210915,[]
a0220984,"['Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee']"
a0000268,"['Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner']"
a0940430,"['Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee']"
a0002138,"['Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', None, 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee']"
a0528635,[]
a0192368,[]
a0000648,"['Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', None, 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner']"
a0296777,[]
a0165101,"['Nominee', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Nominee', 'Winner', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee', 'Nominee', 'Nominee', 'Nominee', None, None, 'Nominee', 'Nominee', 'Winner', 'Winner', 'Winner', 'Nominee']"
a0627624,"['Nominee', 'Winner', 'Nominee']"
